coord,HE_instances,ST_instances,merged_instances,out_mask,out_info
r1536_c2816,70,28,83,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c2816_merged_mask_info.csv
r1536_c768,35,30,60,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r1536_c768_merged_mask_info.csv
r2048_c1280,46,25,66,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c1280_merged_mask_info.csv
r2048_c1792,61,43,94,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c1792_merged_mask_info.csv
r2048_c2304,72,49,107,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c2304_merged_mask_info.csv
r2048_c256,54,33,76,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c256_merged_mask_info.csv
r2048_c2816,49,32,69,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c2816_merged_mask_info.csv
r2048_c768,57,22,70,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2048_c768_merged_mask_info.csv
r2560_c1792,60,35,83,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2560_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2560_c1792_merged_mask_info.csv
r2560_c2304,66,30,75,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2560_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2560_c2304_merged_mask_info.csv
r2560_c2816,54,26,69,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2560_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r2560_c2816_merged_mask_info.csv
r512_c1280,69,37,98,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c1280_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c1280_merged_mask_info.csv
r512_c1792,118,96,186,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c1792_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c1792_merged_mask_info.csv
r512_c2304,86,49,118,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c2304_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c2304_merged_mask_info.csv
r512_c256,86,24,107,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c256_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c256_merged_mask_info.csv
r512_c2816,81,52,125,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c2816_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c2816_merged_mask_info.csv
r512_c768,92,35,124,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c768_merged_mask.npy,/Users/xiaohanzhao/Projects/Dinov3_ST/napari/data/Visium_HD_Human_Colon_Cancer_P2/maskann_size-512/sam2_merged_masks/r512_c768_merged_mask_info.csv
